,Estado,data,Prec_min,Prec_mean,Prec_max,ano,mes,dia
0,DF,2022-05-02,0.0,0.0005137106837944935,0.031128349248319864,2022,05,02
1,RR,2022-05-02,0.0,0.3958611923867594,12.624636439730239,2022,05,02
2,AP,2022-05-02,0.22958076372742653,11.47471642050817,83.99441454076441,2022,05,02
3,AC,2022-05-02,0.0,1.9748656949795453,35.87785149831325,2022,05,02
4,MA,2022-05-02,0.0,2.6749912626270835,85.97660735052835,2022,05,02
5,SC,2022-05-02,1.804612263571471,27.323820214926172,104.08064051531255,2022,05,02
6,RO,2022-05-02,0.0,0.6395227938055164,11.488857477903366,2022,05,02
7,AM,2022-05-02,0.0,6.693462054258051,88.02149783819914,2022,05,02
8,SE,2022-05-02,0.0,0.07467727350280831,2.919250875711441,2022,05,02
9,MS,2022-05-02,0.0,0.994377990728301,22.756264267198276,2022,05,02
10,MG,2022-05-02,0.0,0.06200788606751893,7.689220041502267,2022,05,02
11,AL,2022-05-02,0.0,9.1006780082594,39.13831593468785,2022,05,02
12,ES,2022-05-02,0.0,0.023876231332179823,2.598660945892334,2022,05,02
13,TO,2022-05-02,0.0,0.17880380864719622,4.3901977888308465,2022,05,02
14,MT,2022-05-02,0.0,0.2840898699916179,45.733725792728364,2022,05,02
15,PR,2022-05-02,0.0,4.7020393412120445,96.6555273574777,2022,05,02
16,PA,2022-05-02,0.0,4.944914231283334,59.460017691541,2022,05,02
17,BA,2022-05-02,0.0,0.061332517888938454,9.080398043617606,2022,05,02
18,RN,2022-05-02,0.0,3.3390723322812246,21.17349438369274,2022,05,02
19,RJ,2022-05-02,0.0,0.14096742979781832,5.140710918232799,2022,05,02
20,SP,2022-05-02,0.0,0.22876844154442186,10.384947329759598,2022,05,02
21,CE,2022-05-02,0.0,1.35264161712594,17.89999833703041,2022,05,02
22,PE,2022-05-02,0.0,2.174274557163343,17.49437952041626,2022,05,02
23,PI,2022-05-02,0.0,0.8213535952552178,19.156768530607224,2022,05,02
24,PB,2022-05-02,0.0,3.3386592897263023,17.31772607564926,2022,05,02
25,RS,2022-05-02,0.0,21.67659915276376,159.99020799808204,2022,05,02
26,GO,2022-05-02,0.0,0.010429686543612019,2.9311766845639795,2022,05,02
27,DF,2022-05-03,0.0,0.15793092031593772,4.1746153566055,2022,05,03
28,RR,2022-05-03,0.0,2.1923672431257786,23.379823207855225,2022,05,03
29,AP,2022-05-03,1.189942831872031,11.647899731444957,46.740211028256454,2022,05,03
30,AC,2022-05-03,0.0,4.858669794418363,89.80528188543701,2022,05,03
31,MA,2022-05-03,0.0,6.6568999870452945,73.62807613890618,2022,05,03
32,SC,2022-05-03,2.412301781354472,90.30834135882785,215.81577974464744,2022,05,03
33,RO,2022-05-03,0.0,2.418328638249326,78.31553069315851,2022,05,03
34,AM,2022-05-03,0.0,3.1705678260853922,121.19304829743449,2022,05,03
35,SE,2022-05-03,0.0,1.7724818196878789,19.57286089350335,2022,05,03
36,MS,2022-05-03,0.0,10.516100355547342,77.69986523804255,2022,05,03
37,MG,2022-05-03,0.0,0.0696832861606519,3.8053850773721933,2022,05,03
38,AL,2022-05-03,0.0,3.6828788101102576,23.462695414323687,2022,05,03
39,ES,2022-05-03,0.0,0.02328371712756483,1.389954880811274,2022,05,03
40,TO,2022-05-03,0.0,0.27804854420773756,14.49961582198739,2022,05,03
41,MT,2022-05-03,0.0,0.9838384409482366,62.758072478518585,2022,05,03
42,PR,2022-05-03,0.0030463557923212647,25.052089214487353,187.01326048048213,2022,05,03
